country,year_month,latitude,longitude,year,month,temperature_celsius,feels_like_celsius,humidity,wind_kph,gust_kph,pressure_mb,precip_mm,uv_index,cloud,visibility_km,air_quality_PM2.5,air_quality_PM10
Thailand,2024-11,16.266650000000002,100.65,2024.0,11.0,30.816666666666666,34.358333333333334,56.166666666666664,7.5600000000000005,10.231666666666666,1009.6166666666667,0.11866666666666667,2.058333333333333,34.38333333333333,10.0,37.736916666666666,46.20066666666666
Thailand,2024-12,16.26665,100.65,2024.0,12.0,28.874193548387098,29.969354838709677,52.11290322580645,7.537096774193548,11.48225806451613,1010.2741935483871,0.001935483870967742,0.2661290322580645,20.129032258064516,9.983870967741936,37.91903225806452,38.30096774193548
Thailand,2025-01,16.26665,100.65,2025.0,1.0,29.138709677419353,28.161290322580644,39.45161290322581,7.103225806451612,10.009677419354839,1011.0967741935484,0.0,0.6451612903225806,5.483870967741935,9.903225806451612,57.00685483870968,57.60661290322581
Thailand,2025-02,16.266650000000002,100.64999999999999,2025.0,2.0,32.408928571428575,32.31964285714286,42.089285714285715,10.592857142857143,12.87857142857143,1009.5535714285714,0.005535714285714285,0.5125,20.089285714285715,9.857142857142858,49.209999999999994,50.10196428571429
Thailand,2025-03,16.26665,100.65,2025.0,3.0,34.524193548387096,35.04516129032258,41.74193548387097,13.433870967741935,15.716129032258063,1007.3064516129032,0.00016129032258064516,2.0370967741935484,22.580645161290324,9.370967741935484,63.428145161290324,66.39411290322582
Thailand,2025-04,16.266650000000002,100.65,2025.0,4.0,34.333333333333336,37.111666666666665,51.5,13.756666666666666,16.276666666666667,1006.5166666666667,0.08,2.481666666666667,34.583333333333336,9.916666666666666,49.583083333333335,51.689
Thailand,2025-05,16.26665,100.65,2025.0,5.0,31.76290322580645,35.751612903225805,66.2741935483871,11.180645161290323,13.883870967741935,1005.2903225806451,0.15483870967741936,3.52258064516129,45.564516129032256,9.64516129032258,30.363870967741935,31.530564516129033
Thailand,2025-06,16.266650000000002,100.65,2025.0,6.0,32.461666666666666,38.99666666666667,61.2,11.411666666666667,14.946666666666665,1004.45,0.5423333333333333,3.0833333333333335,46.666666666666664,9.85,15.805166666666667,19.26158333333333
Thailand,2025-07,16.26665,100.65,2025.0,7.0,31.003225806451614,38.24354838709677,69.35483870967742,10.730645161290322,14.041935483870969,1003.483870967742,0.5709677419354838,2.9919354838709675,51.20967741935484,9.870967741935484,12.386048387096775,15.095403225806452
Thailand,2025-08,16.26665,100.65,2025.0,8.0,32.52741935483871,39.21935483870968,61.016129032258064,10.425806451612903,13.432258064516128,1005.4032258064516,0.4943548387096774,4.550000000000001,44.354838709677416,9.919354838709678,16.888709677419353,18.804354838709678
Thailand,2025-09,16.266650000000002,100.65,2025.0,9.0,31.459999999999997,38.46333333333334,67.61666666666666,9.308333333333334,12.043333333333333,1005.8166666666667,0.40166666666666667,5.2266666666666675,47.083333333333336,9.816666666666666,18.96966666666667,19.568083333333334
Thailand,2025-10,16.26665,100.65,2025.0,10.0,31.330645161290324,36.920967741935485,63.54838709677419,7.604838709677419,10.406451612903227,1008.741935483871,0.22435483870967743,5.687096774193549,39.11290322580645,9.830645161290322,18.179032258064513,18.31935483870968
Thailand,2025-11,16.266650000000002,100.65,2025.0,11.0,29.038333333333334,32.836666666666666,58.81666666666667,7.613333333333333,10.763333333333332,1011.05,0.26366666666666666,4.89,32.083333333333336,9.966666666666667,18.228333333333335,18.328333333333333
Thailand,2025-12,16.26665,100.65,2025.0,12.0,29.64032258064516,30.488709677419354,51.75806451612903,6.851612903225806,8.916129032258064,1011.9032258064516,0.011451612903225807,5.570967741935483,25.0,9.951612903225806,19.19193548387097,19.33225806451613
Thailand,2026-01,16.266650000000002,100.65,2026.0,1.0,29.279999999999998,28.611666666666668,42.11666666666667,7.496666666666667,8.96,1014.05,0.0,6.126666666666667,16.25,9.966666666666667,23.953333333333333,24.278333333333332
Thailand,2026-02,16.266650000000002,100.64999999999999,2026.0,2.0,31.041666666666668,30.241666666666664,42.583333333333336,8.383333333333333,10.191666666666666,1014.4166666666666,0.0,7.183333333333334,22.916666666666668,10.0,23.816666666666666,24.275000000000002
Timor-Leste,2024-05,-8.56,125.57000000000001,2024.0,5.0,25.46470588235294,27.741176470588236,78.17647058823529,8.823529411764707,12.264705882352942,1011.9411764705883,0.031764705882352945,1.3529411764705883,31.88235294117647,10.0,1.0058823529411764,1.9705882352941178
